"","X1","Name","Country","Runs","Mins","BF","4s","6s","SR","POS","Dismissal","Inns","Team","Ground","Date","cum_rpi"
"1",0,"Ricky Ponting","Australia",96,"236","184","8","0","52.17","5","lbw",2,"Sri Lanka","Perth",1995-12-08,96
"2",1,"Ricky Ponting","Australia",71,"125","94","9","1","75.53","6","caught",1,"Sri Lanka","Melbourne",1995-12-26,83.5
"3",3,"Ricky Ponting","Australia",6,"31","27","0","0","22.22","6","caught",1,"Sri Lanka","Adelaide",1996-01-25,57.6666666666667
"4",4,"Ricky Ponting","Australia",20,"64","61","2","0","32.78","6","caught",3,"Sri Lanka","Adelaide",1996-01-25,48.25
"5",5,"Ricky Ponting","Australia",14,"47","48","1","0","29.16","3","bowled",1,"India","Delhi",1996-10-10,41.4
"6",6,"Ricky Ponting","Australia",13,"25","21","2","0","61.90","3","bowled",3,"India","Delhi",1996-10-10,36.6666666666667
"7",7,"Ricky Ponting","Australia",88,"208","150","10","1","58.66","3","caught",1,"West Indies","Brisbane",1996-11-22,44
"8",8,"Ricky Ponting","Australia",9,"43","28","1","0","32.14","3","caught",3,"West Indies","Brisbane",1996-11-22,39.625
"9",9,"Ricky Ponting","Australia",9,"42","28","1","0","32.14","3","caught",1,"West Indies","Sydney",1996-11-29,36.2222222222222
"10",10,"Ricky Ponting","Australia",4,"29","22","0","0","18.18","3","caught",3,"West Indies","Sydney",1996-11-29,33
"11",11,"Ricky Ponting","Australia",127,"261","202","16","1","62.87","6","caught",2,"England","Leeds",1997-07-24,41.5454545454545
"12",12,"Ricky Ponting","Australia",9,"15","15","1","0","60.00","6","bowled",1,"England","Nottingham",1997-08-07,38.8333333333333
"13",13,"Ricky Ponting","Australia",45,"168","131","4","0","34.35","6","caught",3,"England","Nottingham",1997-08-07,39.3076923076923
"14",14,"Ricky Ponting","Australia",40,"134","96","3","1","41.66","6","caught",2,"England","The Oval",1997-08-21,39.3571428571429
"15",15,"Ricky Ponting","Australia",20,"47","35","3","0","57.14","6","lbw",4,"England","The Oval",1997-08-21,38.0666666666667
"16",16,"Ricky Ponting","Australia",26,"72","56","3","0","46.42","6","caught",1,"New Zealand","Brisbane",1997-11-07,37.3125
"17",17,"Ricky Ponting","Australia",73,"119","85","7","2","85.88","7","not out",3,"New Zealand","Brisbane",1997-11-07,39.4117647058824
"18",18,"Ricky Ponting","Australia",16,"40","31","2","0","51.61","7","caught",2,"New Zealand","Perth",1997-11-20,38.1111111111111
"19",19,"Ricky Ponting","Australia",4,"34","23","0","0","17.39","6","caught",1,"New Zealand","Hobart",1997-11-27,36.3157894736842
"20",21,"Ricky Ponting","Australia",105,"269","208","14","0","50.48","6","bowled",1,"South Africa","Melbourne",1997-12-26,39.75
"21",22,"Ricky Ponting","Australia",32,"113","84","2","0","38.09","6","caught",3,"South Africa","Melbourne",1997-12-26,39.3809523809524
"22",23,"Ricky Ponting","Australia",62,"219","155","1","1","40.00","6","caught",2,"South Africa","Sydney",1998-01-02,40.4090909090909
"23",24,"Ricky Ponting","Australia",26,"97","72","4","0","36.11","6","bowled",2,"South Africa","Adelaide",1998-01-30,39.7826086956522
"24",25,"Ricky Ponting","Australia",23,"118","84","3","0","27.38","6","caught",4,"South Africa","Adelaide",1998-01-30,39.0833333333333
"25",26,"Ricky Ponting","Australia",18,"50","34","1","0","52.94","5","caught",2,"India","Chennai",1998-03-06,38.24
"26",27,"Ricky Ponting","Australia",2,"9","7","0","0","28.57","7","lbw",4,"India","Chennai",1998-03-06,36.8461538461538
"27",28,"Ricky Ponting","Australia",60,"149","127","7","0","47.24","6","bowled",1,"India","Kolkata",1998-03-18,37.7037037037037
"28",29,"Ricky Ponting","Australia",9,"40","25","1","0","36.00","5","caught",3,"India","Kolkata",1998-03-18,36.6785714285714
"29",30,"Ricky Ponting","Australia",16,"27","30","0","0","53.33","6","caught",2,"India","Bengaluru",1998-03-25,35.9655172413793
"30",32,"Ricky Ponting","Australia",76,"166","147","6","0","51.70","6","not out",1,"Pakistan","Peshawar",1998-10-15,37.3
"31",33,"Ricky Ponting","Australia",43,"83","88","3","0","48.86","6","lbw",3,"Pakistan","Peshawar",1998-10-15,37.4838709677419
"32",34,"Ricky Ponting","Australia",21,"94","61","1","0","34.42","6","caught",1,"England","Brisbane",1998-11-20,36.96875
"33",36,"Ricky Ponting","Australia",11,"32","18","0","0","61.11","7","caught",2,"England","Perth",1998-11-28,36.1818181818182
"34",38,"Ricky Ponting","Australia",5,"32","28","0","0","17.85","6","caught",1,"England","Adelaide",1998-12-11,35.2647058823529
"35",39,"Ricky Ponting","Australia",10,"42","30","1","0","33.33","6","bowled",3,"England","Adelaide",1998-12-11,34.5428571428571
"36",40,"Ricky Ponting","Australia",104,"376","290","10","0","35.86","6","caught",1,"West Indies","Bridgetown",1999-03-26,36.4722222222222
"37",41,"Ricky Ponting","Australia",22,"141","76","1","0","28.94","7","caught",3,"West Indies","Bridgetown",1999-03-26,36.0810810810811
"38",42,"Ricky Ponting","Australia",21,"90","72","2","0","29.16","6","lbw",1,"West Indies","St John's",1999-04-03,35.6842105263158
"39",43,"Ricky Ponting","Australia",21,"104","82","0","1","25.60","6","not out",3,"West Indies","St John's",1999-04-03,35.3076923076923
"40",44,"Ricky Ponting","Australia",96,"243","160","10","1","60.00","6","caught",1,"Sri Lanka","Kandy",1999-09-09,36.825
"41",45,"Ricky Ponting","Australia",51,"136","118","4","1","43.22","5","caught",3,"Sri Lanka","Kandy",1999-09-09,37.1707317073171
"42",46,"Ricky Ponting","Australia",1,"10","12","0","0","8.33","7","caught",2,"Sri Lanka","Galle",1999-09-22,36.3095238095238
