,Name,Country,Runs,Mins,BF,4s,6s,SR,POS,Dismissal,Inns,Opposition,Ground,Date
0,Mahela Jayawardena,Sri Lanka,66,133,105,10,0,62.85,6,caught,2,v India,Colombo (RPS),2 Aug 1997
1,Mahela Jayawardena,Sri Lanka,16,48,34,2,0,47.05,6,caught,1,v India,Colombo (SSC),9 Aug 1997
2,Mahela Jayawardena,Sri Lanka,7,8,10,1,0,70.00,7,caught,3,v India,Colombo (SSC),9 Aug 1997
3,Mahela Jayawardena,Sri Lanka,52,128,108,10,0,48.14,3,caught,2,v New Zealand,Colombo (RPS),27 May 1998
4,Mahela Jayawardena,Sri Lanka,54,270,255,5,0,21.17,3,caught,4,v New Zealand,Colombo (RPS),27 May 1998
5,Mahela Jayawardena,Sri Lanka,167,338,278,18,0,60.07,3,lbw,2,v New Zealand,Galle,3 Jun 1998
6,Mahela Jayawardena,Sri Lanka,16,28,26,2,0,61.53,3,caught,1,v New Zealand,Colombo (SSC),10 Jun 1998
7,Mahela Jayawardena,Sri Lanka,11,55,40,1,0,27.50,3,caught,3,v New Zealand,Colombo (SSC),10 Jun 1998
8,Mahela Jayawardena,Sri Lanka,9,56,40,0,0,22.50,3,caught,2,v England,The Oval,27 Aug 1998
9,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v England,The Oval,27 Aug 1998
10,Mahela Jayawardena,Sri Lanka,242,677,465,30,2,52.04,3,caught,2,v India,Colombo (SSC),24 Feb 1999
11,Mahela Jayawardena,Sri Lanka,4,14,11,0,0,36.36,3,bowled,2,v Pakistan,Lahore,4 Mar 1999
12,Mahela Jayawardena,Sri Lanka,50,143,93,5,0,53.76,3,caught,4,v Pakistan,Lahore,4 Mar 1999
13,Mahela Jayawardena,Sri Lanka,0,1,1,0,0,0.00,3,lbw,1,v Pakistan,Dhaka,12 Mar 1999
14,Mahela Jayawardena,Sri Lanka,1,8,5,0,0,20.00,4,caught,3,v Pakistan,Dhaka,12 Mar 1999
15,Mahela Jayawardena,Sri Lanka,46,117,70,7,0,65.71,5,caught,2,v Australia,Kandy,9 Sep 1999
16,Mahela Jayawardena,Sri Lanka,9,31,20,1,0,45.00,5,caught,4,v Australia,Kandy,9 Sep 1999
17,Mahela Jayawardena,Sri Lanka,46,119,110,7,0,41.81,5,caught,1,v Australia,Galle,22 Sep 1999
18,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,3,v Australia,Galle,22 Sep 1999
19,Mahela Jayawardena,Sri Lanka,21,63,52,3,0,40.38,5,caught,2,v Australia,Colombo (SSC),30 Sep 1999
20,Mahela Jayawardena,Sri Lanka,17,50,45,1,0,37.77,4,lbw,2,v Zimbabwe,Bulawayo,18 Nov 1999
21,Mahela Jayawardena,Sri Lanka,91,206,207,11,1,43.96,4,caught,2,v Zimbabwe,Harare,26 Nov 1999
22,Mahela Jayawardena,Sri Lanka,6*,43,27,0,0,22.22,4,not out,4,v Zimbabwe,Harare,26 Nov 1999
23,Mahela Jayawardena,Sri Lanka,2,13,12,0,0,16.66,3,caught,2,v Zimbabwe,Harare,4 Dec 1999
24,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v Zimbabwe,Harare,4 Dec 1999
25,Mahela Jayawardena,Sri Lanka,42,67,55,5,0,76.36,5,run out,2,v Pakistan,Rawalpindi,26 Feb 2000
26,Mahela Jayawardena,Sri Lanka,35,144,103,5,0,33.98,5,caught,4,v Pakistan,Rawalpindi,26 Feb 2000
27,Mahela Jayawardena,Sri Lanka,36,88,89,6,0,40.44,5,caught,1,v Pakistan,Peshawar,5 Mar 2000
28,Mahela Jayawardena,Sri Lanka,10,30,19,2,0,52.63,4,lbw,3,v Pakistan,Peshawar,5 Mar 2000
29,Mahela Jayawardena,Sri Lanka,1,16,12,0,0,8.33,4,caught,2,v Pakistan,Karachi,12 Mar 2000
30,Mahela Jayawardena,Sri Lanka,29,57,41,6,0,70.73,4,bowled,4,v Pakistan,Karachi,12 Mar 2000
31,Mahela Jayawardena,Sri Lanka,77,222,145,6,0,53.10,5,caught,1,v Pakistan,Colombo (SSC),14 Jun 2000
32,Mahela Jayawardena,Sri Lanka,1,21,12,0,0,8.33,5,caught,3,v Pakistan,Colombo (SSC),14 Jun 2000
33,Mahela Jayawardena,Sri Lanka,72,194,127,8,1,56.69,5,caught,1,v Pakistan,Galle,21 Jun 2000
34,Mahela Jayawardena,Sri Lanka,9,34,22,1,0,40.90,5,lbw,3,v Pakistan,Galle,21 Jun 2000
35,Mahela Jayawardena,Sri Lanka,2,10,6,0,0,33.33,5,bowled,1,v Pakistan,Kandy,28 Jun 2000
36,Mahela Jayawardena,Sri Lanka,167,331,288,22,2,57.98,4,caught,1,v South Africa,Galle,20 Jul 2000
37,Mahela Jayawardena,Sri Lanka,18,38,25,3,0,72.00,4,caught,2,v South Africa,Kandy,30 Jul 2000
38,Mahela Jayawardena,Sri Lanka,1,5,3,0,0,33.33,4,caught,4,v South Africa,Kandy,30 Jul 2000
39,Mahela Jayawardena,Sri Lanka,34,117,86,4,0,39.53,5,caught,2,v South Africa,Colombo (SSC),6 Aug 2000
40,Mahela Jayawardena,Sri Lanka,101*,217,183,14,1,55.19,4,not out,4,v South Africa,Colombo (SSC),6 Aug 2000
41,Mahela Jayawardena,Sri Lanka,98,270,195,13,0,50.25,4,caught,2,v South Africa,Durban,26 Dec 2000
42,Mahela Jayawardena,Sri Lanka,7,27,18,0,0,38.88,4,caught,4,v South Africa,Durban,26 Dec 2000
43,Mahela Jayawardena,Sri Lanka,0,4,3,0,0,0.00,4,caught,1,v South Africa,Cape Town,2 Jan 2001
44,Mahela Jayawardena,Sri Lanka,45,89,65,8,0,69.23,4,lbw,3,v South Africa,Cape Town,2 Jan 2001
45,Mahela Jayawardena,Sri Lanka,17,60,40,3,0,42.50,5,caught,2,v South Africa,Centurion,20 Jan 2001
46,Mahela Jayawardena,Sri Lanka,23,37,35,5,0,65.71,3,caught,3,v South Africa,Centurion,20 Jan 2001
47,Mahela Jayawardena,Sri Lanka,61,141,94,4,2,64.89,5,run out,1,v England,Galle,22 Feb 2001
48,Mahela Jayawardena,Sri Lanka,101,180,165,12,1,61.21,5,caught,1,v England,Kandy,7 Mar 2001
49,Mahela Jayawardena,Sri Lanka,18,36,29,3,0,62.06,5,bowled,3,v England,Kandy,7 Mar 2001
50,Mahela Jayawardena,Sri Lanka,71,188,152,8,1,46.71,5,caught,1,v England,Colombo (SSC),15 Mar 2001
51,Mahela Jayawardena,Sri Lanka,11,60,33,1,0,33.33,5,lbw,3,v England,Colombo (SSC),15 Mar 2001
52,Mahela Jayawardena,Sri Lanka,28,42,30,4,0,93.33,4,caught,2,v India,Galle,14 Aug 2001
53,Mahela Jayawardena,Sri Lanka,DNB,-,-,-,-,-,-,-,4,v India,Galle,14 Aug 2001
54,Mahela Jayawardena,Sri Lanka,104,234,149,17,0,69.79,4,caught,1,v India,Kandy,22 Aug 2001
55,Mahela Jayawardena,Sri Lanka,25,80,55,3,0,45.45,4,caught,3,v India,Kandy,22 Aug 2001
